cartodb_id,unit_code,name,alt_text
2739,stli,"Ellis Island museum - Ground Floor East",
1579,stli,"Castle Clinton National Monument",
1708,stli,"The Battery Ferry Departure",
2740,stli,"Ellis Island museum - Ground Floor West",
1258,stli,"Hospital Complex",
1597,stli,"Hamilton Grange National Memorial",
1167,stli,"Liberty Island",
1595,stli,"Governors Island National Monument",
1712,stli,"Ferry: Liberty Island to Ellis Island",
6458,stli,"Ellis Island museum - 3rd Floor East",
899,masi,"The Battery ",
1599,stli,"Saint Paul's Church National Historic Site",
2250,stli,"Paterson Great Falls National Historical Park",
6459,stli,"Ellis Island museum - 3rd Floor West",
6527,stli,"The Daylily Garden",
6453,stli,"Ellis Island museum - 2nd Floor West",
2741,stli,"Registry Room - Great Hall (2nd Floor)",
1086,masi,"African Burial Ground National Monument",
6476,stli,"30 minute - Walking in the Immigrant Footsteps Tour",
1585,stli,"Gateway National Recreation Area - Staten Island",
1744,stli,"Liberty State Park Ferry Departure ",
1583,stli,"Gateway National Recreation Area - Jamaica Bay",
1913,stli,"Lower East Side Tenement Museum",
2742,stli,"Ellis Island museum - 3rd Floor Balcony",
2245,stli,"Sagamore Hill National Historical Site",
2259,stli,"Morristown National Historical Park",
2252,stli,"Thomas Edison National Historical Park",
1589,stli,"General Grant National Memorial",
2738,stli,"Ellis Island museum - Baggage Room (Ground Floor)",
1581,stli,"Federal Hall National Memorial",
2220,masi,"Colonel's Row and Liggett Hall",
835,masi,"Theodore Roosevelt Birthplace National Historic Site",
1693,masi,"Federal Hall National Memorial Accessibility",
3538,masi,"Mortals Be Wise",
4360,masi,"Castle Williams Exhibits",
4344,masi,"Castle Williams Courtyard",
3536,masi,"To be Enslaved in the Land of the Free",
1683,masi,"St. Paul's Church - Exterior",
1142,stli,"Historic Legal Inspection (2nd Floor)",
880,masi,"Federal Hall National Memorial Visitor Center",
1183,stli,"Fort Gibson",
3454,stli,"Information Center",
1473,stli,"Great Hall Benches (2nd Floor)",
3450,stli,"Cafe and Bookstore",
2703,stli,"Pedestal",
1737,stli,"Liberty State Park Ticketing Office",
2272,masi,"Gateway National Recreation Area - Sandy Hook",
1865,stli,"Statue Cruises Ferry Company",
3542,masi,"Village Green",
833,masi,"Battery Maritime Building ",
5639,masi,"The Trust for Governors Island",
2268,masi,"Gateway National Recreation Area - Jamaica Bay",
3520,masi,"A Covenant for Civil and Religious Life",
4342,masi,"Castle Williams Entrance",
4426,masi,"Fort Jay Eagle",
2249,masi,"Paterson Great Falls National Historical Park",
5674,masi,"Governors Island National Monument",
1275,stli,"Viewing the Skyline from Ellis",
2878,stli,"Viewing the Skyline from Liberty",
3447,stli,"Audio Tour Liberty Island",
1587,stli,"Gateway National Recreation Area - Sandy Hook",
991,stli,"Sculpture Garden",
1069,masi,"Triumph of the Human Spirit",
995,stli,"Original Torch in the Museum Lobby",
1628,stli,"Statue Front",
2057,masi,"General Grant Visitor Center and Overlook Pavilion",
3552,masi,"Lower East Side Tenement Museum",
5680,masi,"Colonel Knowlton memorial",
2240,masi,"Fire Island National Seashore",
2264,masi,"Statue of Liberty",
1664,masi,"St. Paul Cemetery",
1670,masi,"St. Paul's Church Steeple",
3512,masi,"Grave of Will Pinkney",
3525,masi,"Jeremiah Fowler's Grave",
3532,masi,"Sick and Far from Home",
4424,masi,"Fort Jay Cannon",
3522,masi,"Divided by War, United in Death",
3540,masi,"War and Peace",
1248,stli,"Ferry: Ellis Island to The Battery, New York",
6423,masi,"Fort Jay Postern",
1660,masi,"Welcome to New York Harbor",
5668,masi,"Nolan Park",
1165,stli,"Fort Wood",
1019,gate,"U.S. Life Saving Station #2",
1908,gate,"Lower East Side Tenement Museum",
2231,gate,"Paterson Great Falls National Historical Park",
1174,gate,"Breezy Point Surf Club",
1616,gate,"Saint Paul's Church National Historic Site",
3530,masi,"No Man's Land",
888,masi,"Fraunces Tavern",
1215,stli,"Ellis Island",
711,masi,"General Grant National Memorial",
3194,gate,"Hospital",
3534,masi,"The Colony's Official Religion",
2704,stli,"South Side Wayside",
900,masi,"Inside Castle Clinton today",
3198,gate,"Bachelors Officers' Quarters or BOQ",
2016,gate,"Rockaway Theatre Company",
1066,gate,"Big John's Pond",
2255,masi,"Thomas Edison National Historical Park",
3190,gate,"Barracks Rows and Mess Halls",
